titulo,titulo_avaliacao,titulo_votos,foto-src
The Queen at 80,9.3,40.0,"https://m.media-amazon.com/images/M/MV5BMjEyMTM0MTQ4M15BMl5BanBnXkFtZTcwNDY3NjY0MQ@@._V1_QL75_UY281_CR165,0,190,281_.jpg"
The Crown,8.7,196.882,"https://m.media-amazon.com/images/M/MV5BZmY0MzBlNjctNTRmNy00Njk3LWFjMzctMWQwZDAwMGJmY2MyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Selbstbedienung,8.7,12.0,sem foto
Play for Today,8.7,66.0,"https://m.media-amazon.com/images/M/MV5BNDhjOTE3YmYtNThjMC00MjdiLWFkZWMtNTM4ZjBkM2FhNDgzXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
National Theatre Live: The Audience,8.5,478.0,"https://m.media-amazon.com/images/M/MV5BNjE3MjYyYmQtZGZlYi00NDA4LTgzYzYtOWVhYjFmN2MxOGY3XkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_QL75_UY281_CR0,0,190,281_.jpg"
What's My Line?,8.4,46.0,"https://m.media-amazon.com/images/M/MV5BNGQ2MDM0NWEtOGQ1YS00NzVkLTgyOTUtMjM5Njk4ZWZlY2MzXkEyXkFqcGdeQXVyMjQzOTk0NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Penelope Keith at Her Majesty's Service,8.3,31.0,sem foto
Last Week Tonight with John Oliver,8.3,316.0,"https://m.media-amazon.com/images/M/MV5BYTE2MTcwZmYtNDk2OC00YzkwLTllYjgtMmJkODczZTkxNjllXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_QL75_UX190_CR0,0,190,281_.jpg"
Segredos da Realeza,8.2,10.0,"https://m.media-amazon.com/images/M/MV5BODc0YjFlNTQtNzMxYi00YzllLTljZjktNjY3NzU3YWEwMjM0XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_QL75_UX190_CR0,2,190,281_.jpg"
A-ha: Forever Not Yours,8.2,33.0,"https://m.media-amazon.com/images/M/MV5BNzA5NGMwZGMtM2I2ZC00OTA2LThlMjktODYxZjE4NjJlMzhmXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UY190_CR11,0,190,190_.jpg"
