novo_ano_inicio,titulo
2022,16
2021,25
2020,18
2019,13
2018,20
2017,9
2016,17
2015,14
2014,16
2013,11
2012,17
2011,10
2010,6
2009,5
2008,6
2007,6
2006,9
2005,8
2004,5
2003,2
2002,5
2001,6
2000,5
1999,3
1998,2
1997,2
1996,3
1995,4
1994,2
1992,1
1991,2
1990,3
1989,4
1988,4
1987,4
1986,3
1985,2
1984,2
1982,2
1981,4
1979,2
1978,2
1977,4
1976,1
1975,6
1974,2
1973,1
1972,3
1971,3
1970,2
1969,1
1968,3
1967,4
1966,2
1964,3
1963,1
1961,2
1960,1
1959,5
1958,1
1957,3
1956,1
1955,1
1954,4
1953,3
1952,3
1951,1
1950,1
